GGA2	SPG21
NBR1	VTA1
MDFI	BAHD1
GRAP2	BEND5
BSCL2	USE1
MDFI	DKK1
CIAO1	CCDC7
XRCC4	IFFO1
MTUS2	RIBC2
SOX30	BAMBI
CNOT2	CNOT3
EMD	FATE1
TEX11	EFHC1
GNAI2	MDFI
LDOC1	AEBP2
SRSF1	LNX1
RCOR3	CEP70
CPSF6	WWP1
TRAF2	APEX2
MDFI	SIX1
HGS	GKAP1
DVL2	DPPA2
MDFI	CHIC2
PIN1	RAI1
FXR2	PSME3
NADK	LNX1
TRAF2	FXR2
STX11	TAF6L
FXR2	RALYL
SET	THAP7
MOAP1	DPPA2
CBLB	CRY1
KAT7	HOOK2
RNF8	CEP44
AP2M1	FXR2
ACTN1	XRCC4
FXR2	THAP1
LRCH4	RTN4
AP2B1	DHX58
EXOC7	IFT20
AP2B1	MLH1
SFI1	RADIL
PIN1	GGA2
PNKP	MYOZ1
AP2B1	AP1M1
ENOX1	LNX1
SUFU	GLIS3
PCM1	ING5
TRAF2	PSMF1
HOOK2	MCM10
RBMX	LNX1
GLRX3	NADK
FOSL1	LDOC1
TRAF2	ENKD1
TRAF2	SPG21
PIM2	CUTC
PTBP1	SNRPA
PSME3	WDR25
PSMF1	HOOK2
TRAF2	BANP
LDB1	SSBP4
MCRS1	CEP44
AP2M1	DVL2
RPIA	LNX1
SRGN	SGTA
AP2B1	MEA1
XPO6	NUP62
EIF3K	EIF3L
STX4	VAMP4
ATF4	LDOC1
ASH2L	DPY30
HGS	EHMT2
U2AF2	CHIC2
MDFI	LRRN4
TRAF2	SOX30
IFIT1	IFIT3
ZBED1	GPN1
SAT1	TCF25
AQP1	MDFI
DVL2	MCRS1
SRSF6	RNPS1
TRAF2	LNX1
SETD5	DPPA2
MDFI	NR1H2
FXR2	GKAP1
IGHM	CEP72
IRF3	PRDX1
ILF3	TRIP6
TRAF2	AFF4
RBPMS	RABL6
LDOC1	DPPA4
HIF1A	SSX4
GRAP2	RBPMS
LMO3	CARF
PHF1	RBPMS
RPIA	VTA1
CLK3	RSRP1
PPARA	STAC3
CRY1	MDFI
CCNK	KCNRG
PIN1	ZMIZ2
MDFI	IQUB
SPOP	DPPA2
SEPT1	SEPT6
MCRS1	RALYL
MDFI	CCER1
