GLI1	ZIC1	1
NBN	SKP2	1
MECOM	ERMAP	1
RFC2	DDX1	1
RFWD3	TNIP2	1
ALDOB	BBS1	1
KIF4A	GBF1	1
LARP1	TESK2	1
MAML1	PHF8	1
VHL	EP300	1
SET	THAP7	1
WDR1	CTBP1	1
CUL4B	DOCK8	1
DCAF7	WWOX	1
UBC	PSMD5	1
SRPK2	LBR	1
SSRP1	SENP3	1
CKAP4	HAUS7	1
HMOX1	SYVN1	1
PIM1	MARK3	1
NKRF	JUN	1
LSM6	ZMAT2	1
WDR59	EGLN3	1
WASL	CDC42	1
COQ9	ATP5E	1
MYC	RBM15	1
DDX42	NOSIP	1
LRIF1	BRMS1	1
CBL	IRF3	1
MX1	BRD7	1
MZT1	SRSF7	1
UBE2H	CBLC	1
UBE2N	BIRC2	1
VAMP1	VAPA	1
ARRB1	CDC42	1
GNAI2	DHX30	1
GALNS	PSG8	1
CBX5	SRPK1	1
UBA1	DDB1	1
KIF1C	LRFN1	1
TKT	FKBP7	1
SRPK2	BRD3	1
CBS	GPN1	1
SCYL2	COQ2	1
MYLK	ALK	1
SRPK2	SREK1	1
NEDD4	KCNQ1	1
XPO1	AATF	1
NOLC1	CUL7	1
STAT1	HDAC1	1
PSMG4	PSMG3	1
RIC3	TMUB1	1
HACL1	GMPPB	1
EED	CLK3	1
CUL1	NAT10	1
SAP30	FOXK2	1
MYH9	LMO7	1
DGCR8	SRPK1	1
RPA1	SMC4	1
BRCA1	NUDC	1
SOX2	GID8	1
MCM7	MCM10	1
SAP18	CHD3	1
RARA	HACE1	1
NTRK1	TXLNG	1
IRS1	ALK	1
GSE1	NR2E1	1
JUNB	ATF1	1
STX7	STX18	1
TBP	NFYC	1
DSG1	CYLD	1
FGF3	DDX51	1
TNK1	GTSE1	1
MIF	PCBP1	1
CLK2	RBM7	1
SYVN1	TMUB1	1
CDK2	SRRM2	1
MED4	GIT1	1
PGK1	DISC1	1
ANK1	OBSCN	1
WDR62	CUL4B	1
AGK	RAB18	1
WDR5	KDM1B	1
SRSF3	TRA2A	1
SGPL1	NTRK1	1
NTRK1	CEP97	1
ANXA7	EXT2	1
NTRK1	DDX1	1
VPS72	P4HA3	1
CPSF6	CLP1	1
BAG3	MYBPH	1
AURKA	UQCC2	1
EP300	EPAS1	1
RIPK4	BIRC3	1
TRIP6	LIMD1	1
RIPK4	FLII	1
TNIP2	RBM15	1
XRN1	MED4	1
PRDX6	CUL7	1
LDHB	TERF1	1
FLNA	ARRB2	1
CEP55	USP9X	1
STAT1	RNF4	1
CD44	TEFM	1
PWP2	WDR3	1
IGHM	SYVN1	1
DCAF7	PCGF3	1
TLR2	EGFR	1
UBXN7	WDR11	1
SF3A3	CRBN	1
MGST3	BIRC6	1
CEP44	GGA1	1
PIAS2	GFAP	1
CEP89	DHX35	1
KDM5C	CENPK	1
GATA2	CUL1	1
PIBF1	NXF1	1
PSMD4	ADRM1	1
DFFA	EGLN3	1
SMG7	EGLN3	1
ACTN1	ACTN2	1
RPGR	LRWD1	1
SNX27	USB1	1
SCRIB	CEP19	1
CRIP1	PCBP1	1
PYGM	MCM2	1
IL2RB	SHB	1
CASK	WNT7B	1
SGTA	SRGN	1
DDX20	LSM2	1
UBXN7	UBC	1
MOS	TRAF1	1
WDR73	MCPH1	1
APOE	PLTP	1
SART3	SRBD1	1
TPM1	MYH9	1
DHX9	HDAC5	1
SF3B4	PHF5A	1
CPNE2	ZDBF2	1
UBXN1	CUL2	1
PLD1	PKN1	1
RBL1	FOXK1	1
LSM3	LSM2	1
EGFR	GRIK4	1
MED23	TAF6L	1
NTRK1	CDC73	1
BAG6	MACF1	1
TRAF2	FADD	1
BIRC5	MED29	1
LGR4	NISCH	1
EP300	DDX24	1
GRB2	EPS8	1
VPS4B	VPS45	1
OLIG3	MDFI	1
BAG6	UVSSA	1
RFX3	PTOV1	1
PLK1	REST	1
PRAME	DAAM2	1
PPM1D	TMOD3	1
NPHP3	FMNL2	1
NEK6	IKZF3	1
NR4A1	BBS10	1
NTRK1	SRPK2	1
TERF1	RIC8A	1
PSME3	CBX2	1
KCNA2	RHOA	1
AHSA1	RAB1A	1
CBWD2	EGLN1	1
MED12	DDX27	1
PDCD6	MIF	1
CD81	ACTB	1
CLPX	PDP2	1
SMAD4	ZMYM2	1
MTUS2	CD109	1
NOP9	CHST8	1
CUL2	CMBL	1
MOGS	TECR	1
MCM6	SRRM2	1
CHD3	ZFHX4	1
MYO1C	ACTN4	1
RAP2A	NEDD4	1
RCN2	COX15	1
IMPA2	ITPA	1
STX19	VAMP8	1
FOXH1	SCRIB	1
RNF4	TMX1	1
TERF2	RYR2	1
RNF4	REEP4	1
MUC15	FCRL4	1
ALDOA	CFTR	1
WDR62	LRIF1	1
AKT2	EGLN1	1
OBSL1	NCOA5	1
AGO3	SUN2	1
GRPR	RAP1B	1
RNF4	ZFP82	1
ERBB2	STK11	1
COCH	OS9	1
RPN1	KDSR	1
GTF2I	EZH2	1
PARP1	YAP1	1
GOSR2	STX4	1
MTUS2	SPG7	1
GNAI2	RGS3	1
CLPP	ECSIT	1
ATP5S	MYH13	1
JPH4	MRS2	1
RFC3	MEPCE	1
EGLN3	ROBO1	1
SGTA	BAG2	1
TRAF1	TIFA	1
ALDOA	CUL4B	1
KDM3B	RNF41	1
MOB1B	MOB1A	1
LPAR1	PEX13	1
PLIN2	LIPE	1
IRS4	CEP76	1
NR4A1	CHD3	1
IGHG1	ASCC1	1
LSM6	ZGPAT	1
CLU	PLK1	1
ALX1	SRA1	1
CDK6	KAT2A	1
GRK6	MMS19	1
TERF1	HMGN3	1
P4HA3	TRPS1	1
DLG5	BAG5	1
ATP5L	ESR2	1
TOB1	CNOT6	1
DSG1	LARP7	1
KPRP	FCF1	1
PIGT	GID8	1
KRIT1	TRPV4	1
EGFR	DIP2A	1
CDK5	FZR1	1
LZTS2	THAP7	1
EIF1B	ERH	1
RIPK1	CLIP3	1
APH1A	MOV10	1
UCHL3	YAP1	1
HAT1	TLN2	1
MED12	MED13	1
LARP7	NOL12	1
SKIL	DHX30	1
GPC3	ULBP1	1
LMAN1	TMED4	1
STAT1	GSK3A	1
DAB1	POGZ	1
TIMP3	ZUFSP	1
MRM1	MIPEP	1
FOXO3	SKP2	1
PDIA3	PA2G4	1
LSR	VPS45	1
PSMD7	RNF11	1
RAB13	SRPRB	1
WDR36	NOL10	1
PCNA	ERCC5	1
CCNB1	IKZF5	1
XPO1	ZYX	1
VWF	SOCS4	1
CUL1	CUL4A	1
SKP1	MEPCE	1
TMED2	TMED3	1
RPA1	ATR	1
CALM1	MYO5A	1
LRP11	GINM1	1
SRSF9	ESR2	1
HERC2	TEX10	1
IL9R	PDE3B	1
GAK	ESR2	1
RFC4	PRAME	1
ESR2	CAAP1	1
CHD4	SRRM1	1
STAU1	EIF3E	1
PATL1	KLC2	1
SSX4	LZTR1	1
LYPD3	PIGS	1
DDX6	VPS52	1
LPIN1	EGLN3	1
DAPK3	MYO19	1
MSL1	MOV10	1
MPZL1	FHL3	1
CD5	ZAP70	1
ARRB1	KTN1	1
RPA1	TRIP4	1
RHOA	KTN1	1
CCDC6	PAAF1	1
BOD1	MOV10	1
CDK2	FUS	1
MCAT	RNF4	1
PCBP1	RBM14	1
MCM3	SSRP1	1
UTP15	NOP58	1
ETFA	KYNU	1
SAT1	DNPEP	1
USP9X	DDX20	1
CRTAP	VHL	1
NONO	ARMC8	1
SKP2	LATS2	1
BUB1	MIS12	1
MCL1	PINK1	1
FLNA	MYH11	1
STON2	ANLN	1
C1QBP	TRAP1	1
TFE3	NEDD8	1
EPB42	SNX6	1
ABL1	NTRK1	1
SOX2	SIN3A	1
CCNT1	KAT2B	1
UQCC3	ESR2	1
NEDD8	DDX17	1
CDX1	STAU2	1
NUMA1	GPSM1	1
NFRKB	MCRS1	1
IFT88	LCA5	1
PSG1	NPC2	1
KLF4	PPARG	1
EGR1	EP300	1
HCFC1	RBBP4	1
IKZF1	HDAC1	1
MCM2	HBB	1
NTRK1	LPIN1	1
PCID2	VPS35	1
BRCA1	MOV10	1
FKBP8	ESR2	1
GSTP1	CDK2	1
HUS1	RPA2	1
PHC1	SCMH1	1
IRGM	ULK1	1
RPP14	KMT2B	1
VIPR2	ALG8	1
SUMO2	SETX	1
SRC	EDNRA	1
EED	TBL3	1
CBX3	SCAI	1
CBX2	DHX57	1
GRPR	PANX1	1
RPE	NANOG	1
TLX3	ZNF41	1
CASP3	RBX1	1
STAT1	NR1H3	1
VNN2	ALG8	1
PHF2	TNIP2	1
ILF3	EMC1	1
MIB1	SNX5	1
XPO1	SRP68	1
PPIA	LNX1	1
SRCAP	MRGBP	1
PDE4D	ZBTB1	1
EXOC8	EHD1	1
CDC26	PHF8	1
HCFC1	E2F4	1
VIP	PXDN	1
ISOC2	HBS1L	1
STAU1	SCFD1	1
GRK5	PPIG	1
THOC2	RPA2	1
TULP2	BRCA1	1
MTOR	RAB1A	1
NOD2	CHMP5	1
PCNA	PRDX6	1
ISG15	TAF2	1
ARPC3	DOCK8	1
SIAH2	STAT3	1
RXRA	NRIP1	1
ZFP41	NELL2	1
TMED2	MED20	1
TKT	GLOD4	1
NOP2	SUZ12	1
PTN	RBM23	1
RAB3A	SYTL5	1
PCBP1	WDR33	1
PSME3	BAP1	1
PIM1	PIAS3	1
LTN1	CD244	1
NONO	HABP4	1
WIZ	CTBP2	1
AIRE	SRSF3	1
CCNE1	E2F1	1
KIF23	RNPS1	1
ESYT2	PAEP	1
IFNA8	UBR3	1
RBM27	VDAC3	1
TKT	AAR2	1
HELZ	ESRP1	1
CBX1	HECW2	1
